,Feature,Importance
292,AbsoluteDirections,0.07974017
424,AdvantageP1,0.05491756
198,SowWithEffect,0.04189414
75,NumRightSites,0.02278728
239,Capture,0.015518862
147,SlideDecisionToEmptyFrequency,0.0151692005
411,DrawFrequency,0.014823835
471,PieceNumberMedian,0.014266508
528,MancalaStyle,0.014095273
502,Equal,0.012897103
52,Region,0.011196908
66,NumOuterSites,0.01111178
438,BoardSitesOccupiedMaxIncrease,0.011073071
441,BranchingFactorMedian,0.010959192
1,Asymmetric,0.010630803
437,BoardSitesOccupiedChangeNumTimes,0.010614815
419,GameTreeComplexity,0.010480934
95,NumComponentsTypePerPlayer,0.010203839
466,MoveDistanceChangeLineBestFit,0.009383492
435,BoardSitesOccupiedChangeSign,0.009234221
417,DurationTurnsNotTimeouts,0.008187412
436,BoardSitesOccupiedChangeLineBestFit,0.008053434
442,BranchingFactorMaximum,0.007964607
139,StepDecisionToEmptyFrequency,0.007810784
355,CaptureEnd,0.0077795354
429,OutcomeUniformity,0.007520704
439,BoardSitesOccupiedMaxDecrease,0.0074726315
36,AlquerqueBoard,0.0073853326
94,NumComponentsType,0.007088226
298,SameLayerDirection,0.0064935666
414,DurationMoves,0.0061664702
470,PieceNumberAverage,0.005984639
416,DurationTurnsStdDev,0.005984
432,BoardSitesOccupiedMaximum,0.005966376
174,FromToDecisionBetweenContainersFrequency,0.0059483494
245,HopCaptureMoreThanOneFrequency,0.005863162
427,Drawishness,0.0055964566
413,DurationActions,0.005288807
457,DecisionFactorChangeNumTimes,0.005148591
14,CircleShape,0.005021551
569,SiteState,0.004874238
489,Math,0.004793211
259,SpaceConditions,0.0046481155
367,EliminatePiecesWinFrequency,0.0046389713
111,NumStartComponentsHand,0.0045826365
62,NumOrthogonalDirections,0.0044975025
243,HopCaptureFrequency,0.0044798874
586,PlayoutsPerSecond,0.0043538082
315,NumPlayPhase,0.004346752
185,MovesNonDecision,0.004310479
449,BranchingFactorChangeMaxDecrease,0.004284663
317,PieceCount,0.004168972
320,LineEnd,0.004115962
453,DecisionFactorVariance,0.003986779
289,CountPiecesNextComparison,0.0039730486
479,PieceNumberMaxDecrease,0.0039013447
472,PieceNumberMaximum,0.0038312853
302,ForwardsDirection,0.0038136453
451,DecisionFactorMedian,0.0037900754
26,ConcentricTiling,0.0037675751
74,NumBottomSites,0.0037406965
86,PieceRotation,0.003715131
137,StepDecisionFrequency,0.0036842849
141,StepDecisionToFriendFrequency,0.003658082
263,Contains,0.0036421474
418,DecisionMoves,0.0036313352
123,PassDecisionFrequency,0.0035201032
454,DecisionFactorChangeAverage,0.0034108567
498,Exponentiation,0.0033692173
287,CountPiecesComparison,0.0033232505
474,PieceNumberChangeAverage,0.0033213303
529,PenAndPaperStyle,0.0032902486
146,SlideDecisionToEmpty,0.0032884204
420,StateTreeComplexity,0.0032814
59,NumRows,0.0032188268
587,MovesPerSecond,0.0031657135
540,AnimalComponent,0.0031520082
455,DecisionFactorChangeSign,0.003113116
255,SurroundCaptureFrequency,0.0030838419
24,MorrisTiling,0.0030829522
522,Visual,0.0030405067
473,PieceNumberVariance,0.0029875762
426,Completion,0.00296641
423,BoardCoverageUsed,0.0029133752
211,PromotionEffectFrequency,0.0029123845
260,Line,0.0029053455
323,LineWinFrequency,0.0029016265
574,RememberValues,0.0028895817
328,ConnectionEndFrequency,0.0028835894
365,EliminatePiecesEndFrequency,0.0028730961
431,BoardSitesOccupiedMedian,0.0028521337
155,LeapDecisionToEmptyFrequency,0.0028108452
269,Distance,0.0028012814
482,ScoreDifferenceMaximum,0.0027979095
282,IsEmpty,0.002725942
386,ReachWinFrequency,0.0026689118
321,LineEndFrequency,0.0026504989
128,AddDecisionFrequency,0.002640475
330,ConnectionWinFrequency,0.0026287232
448,BranchingFactorChangeMaxIncrease,0.0026087728
61,NumDirections,0.0026012298
440,BranchingFactorAverage,0.0025480175
516,Union,0.0025389725
458,DecisionFactorMaxIncrease,0.002514894
576,SetPending,0.002512643
112,NumStartComponents,0.0025118343
295,OrthogonalDirection,0.0024611303
4,PlayersWithDirections,0.0024320395
281,Threat,0.0024154251
71,NumVertices,0.0023853038
28,AlquerqueTiling,0.0023825807
60,NumCorners,0.0023707459
162,HopDecisionEnemyToEmpty,0.0023475687
433,BoardSitesOccupiedVariance,0.0023291067
63,NumDiagonalDirections,0.002229411
64,NumAdjacentDirections,0.0022202667
220,SetNextPlayerFrequency,0.002211108
434,BoardSitesOccupiedChangeAverage,0.0022069032
483,ScoreDifferenceVariance,0.0021999446
463,MoveDistanceVariance,0.0021941762
135,TwoSitesMoves,0.002157578
319,SpaceEnd,0.0021527614
69,NumEdges,0.002130151
520,ConditionalStatement,0.0021093788
41,ThreeMensMorrisBoard,0.0020689084
70,NumCells,0.0020571172
278,NoPieceMover,0.0020562052
163,HopDecisionEnemyToEmptyFrequency,0.0020532715
421,BoardCoverageDefault,0.0020019282
592,algorithm_agent2,0.001994681
392,ScoringEndFrequency,0.0019307632
140,StepDecisionToFriend,0.0019139284
201,SowRemove,0.0018973566
242,HopCapture,0.0018686778
149,SlideDecisionToEnemyFrequency,0.0018552648
446,BranchingFactorChangeLineBestFit,0.0018274066
42,ThreeMensMorrisBoardWithTwoTriangles,0.0018089457
276,PieceConditions,0.0018045384
329,ConnectionWin,0.0018001675
251,CustodialCaptureFrequency,0.0017997703
120,SwapPlayersDecision,0.0017990766
197,SowFrequency,0.0017984151
444,BranchingFactorChangeAverage,0.0017971203
430,BoardSitesOccupiedAverage,0.0017961258
241,ReplacementCaptureFrequency,0.0017781861
44,StarBoard,0.0017763441
272,NoMovesMover,0.0017745827
303,BackwardsDirection,0.001767658
450,DecisionFactorAverage,0.0017666664
384,ReachEndFrequency,0.001764181
11,DiamondShape,0.001747625
554,CheckersComponent,0.001743294
549,PloyComponent,0.001729587
366,EliminatePiecesWin,0.0017150263
332,ConnectionLossFrequency,0.0016936086
514,Negation,0.0016783655
352,TerritoryEndFrequency,0.0016717425
476,PieceNumberChangeLineBestFit,0.0016515516
143,StepDecisionToEnemyFrequency,0.0016450342
304,RightwardDirection,0.0016226739
593,exploration_const_agent2,0.0016211001
151,SlideDecisionToFriendFrequency,0.0016189244
555,BallComponent,0.0016118449
588,algorithm_agent1,0.001592126
443,BranchingFactorVariance,0.0015754411
121,SwapPlayersDecisionFrequency,0.0015658359
57,NumPlayableSitesOnBoard,0.0015492012
83,NumPlayableSites,0.0015425008
78,NumConvexCorners,0.0015423268
73,NumTopSites,0.0015222839
404,NoMovesDraw,0.0014898422
299,RelativeDirections,0.0014883125
589,exploration_const_agent1,0.0014693536
445,BranchingFactorChangeSign,0.0014655503
422,BoardCoverageFull,0.0014629632
104,Start,0.0014585921
542,KingComponent,0.0014530754
425,Balance,0.0014488902
511,Logic,0.0014355972
475,PieceNumberChangeSign,0.0014316116
277,NoPiece,0.0014222858
159,HopDecisionFrequency,0.001419804
153,LeapDecisionFrequency,0.0014157507
301,BackwardDirection,0.0014012842
459,DecisionFactorMaxDecrease,0.0013934035
344,PatternEnd,0.0013931816
67,NumInnerSites,0.0013927732
16,SquarePyramidalShape,0.0013801284
415,DurationTurns,0.001377897
262,Group,0.0013657118
79,NumConcaveCorners,0.001363224
565,State,0.0013357245
590,playout_agent1,0.0013056967
293,AllDirections,0.001298533
583,ForEachPiece,0.0012950398
488,ScoreDifferenceMaxDecrease,0.0012944367
461,MoveDistanceMedian,0.0012836863
119,VoteDecision,0.001274683
581,CopyContext,0.0012635541
361,NoTargetPieceEndFrequency,0.0012387644
558,MarkerComponent,0.001235864
132,RemoveDecisionFrequency,0.0012226417
77,NumCentreSites,0.001216273
110,NumStartComponentsBoard,0.0012022397
527,GoStyle,0.0011842715
501,Comparison,0.0011819054
208,SowCW,0.0011801305
8,SquareShape,0.0011754582
20,SquareTiling,0.001126989
594,playout_agent2,0.001112181
213,RemoveEffectFrequency,0.0010926983
145,SlideDecisionFrequency,0.0010920146
499,Minimum,0.0010825249
98,OpeningContract,0.0010821167
464,MoveDistanceChangeAverage,0.0010482016
58,NumColumns,0.001044799
130,PromotionDecisionFrequency,0.0010365829
219,SetNextPlayer,0.0010317721
512,Conjunction,0.0010182419
125,ProposeDecisionFrequency,0.0010013623
122,PassDecision,0.0009964544
261,Connection,0.0009832353
161,HopDecisionMoreThanOneFrequency,0.0009571081
55,Cell,0.0009476853
204,SowBacktrackingFrequency,0.0009450752
191,RollFrequency,0.0009426643
486,ScoreDifferenceChangeLineBestFit,0.00093594764
256,CaptureSequence,0.00090517255
401,NoMovesWinFrequency,0.0009012664
362,NoTargetPieceWin,0.0008923077
526,ChessStyle,0.0008777203
399,NoMovesEndFrequency,0.0008714231
176,FromToDecisionEmptyFrequency,0.0008686287
250,CustodialCapture,0.0008616617
80,NumPhasesBoard,0.0008476445
456,DecisionFactorChangeLineBestFit,0.0008458202
206,SowSkip,0.00084238005
360,NoTargetPieceEnd,0.0008334445
505,LesserThanOrEqual,0.00083012856
43,NineMensMorrisBoard,0.00082477415
258,Conditions,0.00082323863
30,MancalaStores,0.000820225
428,Timeouts,0.00080598023
45,CrossBoard,0.0008032977
314,Phase,0.00080190203
487,ScoreDifferenceMaxIncrease,0.00079851254
275,CanNotMove,0.0007956483
268,Fill,0.0007826866
106,PiecesPlacedOutsideBoard,0.0007761777
187,VoteEffect,0.00076935836
579,PlayerValue,0.00074434147
10,TriangleShape,0.0007385505
285,IsPieceAt,0.00073314185
513,Disjunction,0.0007303589
105,PiecesPlacedOnBoard,0.0007261394
480,ScoreDifferenceAverage,0.0007202086
68,NumLayers,0.0007117176
582,Then,0.00070071925
412,Misere,0.00069397327
316,Scoring,0.00069251837
12,RectangleShape,0.0006859273
494,Multiplication,0.00068297406
481,ScoreDifferenceMedian,0.0006705094
462,MoveDistanceMaximum,0.00067009294
173,FromToDecisionWithinBoardFrequency,0.0006699525
284,IsFriend,0.0006486134
460,MoveDistanceAverage,0.0006477718
372,RaceEnd,0.0006454929
515,Set,0.000643506
92,LargePiece,0.00064178696
189,PassEffect,0.0006321325
200,SowCaptureFrequency,0.0006256907
131,RemoveDecision,0.00062539964
556,TaflComponent,0.0006038888
507,GreaterThanOrEqual,0.00059559435
524,BoardStyle,0.0005810735
484,ScoreDifferenceChangeAverage,0.00057454966
403,NoMovesLossFrequency,0.00055816636
467,MoveDistanceChangeNumTimes,0.0005536118
568,PieceState,0.00054495083
22,TriangleTiling,0.0005447833
557,DiscComponent,0.0005320196
548,FairyChessComponent,0.0005290338
273,NoMovesNext,0.00051466696
564,Implementation,0.0004996283
270,MoveConditions,0.0004950214
118,NoSiteMoves,0.0004913724
519,Algorithmics,0.0004911441
383,ReachEnd,0.0004884672
212,RemoveEffect,0.00048236633
257,CaptureSequenceFrequency,0.00046998495
117,MovesDecision,0.00046664078
518,Complement,0.00045391681
202,SowRemoveFrequency,0.00045178458
485,ScoreDifferenceChangeSign,0.00045082887
296,DiagonalDirection,0.00044246446
517,Intersection,0.00042647362
222,MoveAgainFrequency,0.00042619742
521,ControlFlowStatement,0.0004139558
492,Addition,0.00039822806
233,FromToEffect,0.00039187918
561,Symbols,0.00039026677
82,NumContainers,0.00038926885
294,AdjacentDirection,0.00037608802
478,PieceNumberMaxIncrease,0.00037312796
81,Hand,0.00035512674
506,GreaterThan,0.00034952004
267,Territory,0.0003450217
17,RegularShape,0.00034081124
591,score_agent1,0.0003345763
76,NumLeftSites,0.00031185936
493,Subtraction,0.00031102842
188,SwapPlayersEffect,0.00030959625
253,InterveneCaptureFrequency,0.00030285673
0,Stochastic,0.00028950107
465,MoveDistanceChangeSign,0.0002858466
497,Absolute,0.00028117717
9,HexShape,0.00026910644
229,StepEffect,0.00025093154
376,NoOwnPiecesWinFrequency,0.00024971503
178,FromToDecisionEnemyFrequency,0.00024098653
182,SwapPiecesDecisionFrequency,0.00022676014
177,FromToDecisionEnemy,0.00022433119
279,NoPieceNext,0.00021984558
7,Shape,0.00021595969
387,ReachLoss,0.0001823843
340,LoopEndFrequency,0.00018192119
537,TaflStyle,0.00017896091
312,SameDirection,0.00017399441
541,ChessComponent,0.0001707085
23,SemiRegularTiling,0.00016592984
595,score_agent2,0.00016365618
274,CanMove,0.00015615672
535,TableStyle,0.00015517957
271,NoMoves,0.00014218665
49,Track,0.00012753814
126,SingleSiteMoves,0.00012615098
468,MoveDistanceMaxIncrease,0.0001229839
157,LeapDecisionToEnemyFrequency,0.00012045839
288,CountPiecesMoverComparison,0.00010803723
509,Even,0.000103967155
374,NoOwnPiecesEndFrequency,0.000100116435
371,EliminatePiecesDrawFrequency,9.330249e-05
510,Odd,9.0877154e-05
357,CheckmateFrequency,9.028226e-05
570,SetSiteState,7.781294e-05
359,CheckmateWinFrequency,7.320221e-05
326,LineDraw,7.006278e-05
195,AddEffectFrequency,5.6325694e-05
